name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
berlin,2023-11-01T00:00:00,7.3,4.2,2,69.31,0,0,,0,0,26.3,18,289,1007,100,45,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T01:00:00,7.1,5,1.9,69.45,0,0,,0,0,17.3,11,282,1007.3,86.8,45,0,0,0,,Partially cloudy,partly-cloudy-night,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T02:00:00,7.2,5.9,2.5,72.07,0,0,,0,0,16.6,6.9,258,1007.7,100,36.3,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T03:00:00,7.1,6.3,3.2,76.07,0.003,100,rain,0,0,10.1,5.4,223,1007.6,99.6,40,0,0,0,,"Rain, Overcast",rain,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T04:00:00,6.8,5.8,3.4,79.33,0,0,,0,0,6.8,5.8,295,1007.6,99.8,50,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T05:00:00,6.9,5.8,3.6,79.78,0,0,,0,0,9.4,6.4,174,1007.6,93.5,45,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T06:00:00,7.1,5.2,4.2,81.68,0,0,,0,0,10.8,9.7,142,1007.3,91.3,50,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T07:00:00,7.3,5.7,4,79.5,0,0,,0,0,15.1,8.6,121,1007.4,99.4,40.9,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T08:00:00,7.6,5.6,4.4,80.48,0,0,,0,0,17.3,10.4,122,1007.6,81.6,45,28,0.1,0,,Partially cloudy,partly-cloudy-day,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T09:00:00,8.1,6.2,5.1,81.39,0,0,,0,0,17.6,10.9,124,1007.4,13,50,142,0.5,1,,Clear,clear-day,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T10:00:00,9.9,8.5,6.6,79.66,0,0,,0,0,16.2,10.1,143,1007.1,3.9,49.9,272,1,3,,Clear,clear-day,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T11:00:00,12,12,8.1,77.17,0,0,,0,0,19.4,10.7,138,1006.8,4.2,50,362,1.3,4,,Clear,clear-day,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T12:00:00,13.6,13.6,9.2,74.86,0,0,,0,0,26.6,9.6,170,1006.1,99.4,47.9,195,0.7,2,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T13:00:00,14.3,14.3,9.3,71.84,0,0,,0,0,24.5,17.8,196,1005.5,88.3,50,141,0.5,1,,Partially cloudy,partly-cloudy-day,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T14:00:00,14.3,14.3,9.4,72.54,0,0,,0,0,29.2,13.7,196,1004.9,90.6,50,35,0.1,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T15:00:00,14.2,14.2,10,75.69,0,0,,0,0,34.9,10.6,189,1004.6,97.1,50,44,0.2,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T16:00:00,13.8,13.8,10.1,78.51,0,0,,0,0,27.7,11.2,180,1004.3,99.2,50,9,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-01T17:00:00,13.4,13.4,10.1,80.26,0,0,,0,0,24.8,10.2,159,1003.6,100,50,5,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
