time_stamp,avg_hr
Wed Nov 01 2023 00:57:00 GMT+0100 (Central European Standard Time),62
Wed Nov 01 2023 01:57:00 GMT+0100 (Central European Standard Time),63
Wed Nov 01 2023 02:58:00 GMT+0100 (Central European Standard Time),62
Wed Nov 01 2023 03:59:00 GMT+0100 (Central European Standard Time),62
Wed Nov 01 2023 04:59:00 GMT+0100 (Central European Standard Time),62
Wed Nov 01 2023 05:59:00 GMT+0100 (Central European Standard Time),63
Wed Nov 01 2023 06:59:00 GMT+0100 (Central European Standard Time),89
Wed Nov 01 2023 07:58:00 GMT+0100 (Central European Standard Time),87
Wed Nov 01 2023 08:59:00 GMT+0100 (Central European Standard Time),87
Wed Nov 01 2023 09:58:00 GMT+0100 (Central European Standard Time),77
Wed Nov 01 2023 10:59:00 GMT+0100 (Central European Standard Time),78
Wed Nov 01 2023 11:59:00 GMT+0100 (Central European Standard Time),74
Wed Nov 01 2023 12:59:00 GMT+0100 (Central European Standard Time),79
Wed Nov 01 2023 13:59:00 GMT+0100 (Central European Standard Time),97
Wed Nov 01 2023 14:59:00 GMT+0100 (Central European Standard Time),86
Wed Nov 01 2023 15:59:00 GMT+0100 (Central European Standard Time),84
Wed Nov 01 2023 16:59:00 GMT+0100 (Central European Standard Time),93
Wed Nov 01 2023 17:59:00 GMT+0100 (Central European Standard Time),103
Wed Nov 01 2023 18:59:00 GMT+0100 (Central European Standard Time),81
Wed Nov 01 2023 19:58:00 GMT+0100 (Central European Standard Time),77
Wed Nov 01 2023 20:59:00 GMT+0100 (Central European Standard Time),68
Wed Nov 01 2023 21:58:00 GMT+0100 (Central European Standard Time),69
Wed Nov 01 2023 22:58:00 GMT+0100 (Central European Standard Time),70
Wed Nov 01 2023 23:59:59 GMT+0100 (Central European Standard Time),63
Thu Nov 02 2023 00:56:00 GMT+0100 (Central European Standard Time),64
Thu Nov 02 2023 01:59:00 GMT+0100 (Central European Standard Time),62
Thu Nov 02 2023 02:59:00 GMT+0100 (Central European Standard Time),61
Thu Nov 02 2023 03:59:00 GMT+0100 (Central European Standard Time),63
Thu Nov 02 2023 04:58:00 GMT+0100 (Central European Standard Time),67
Thu Nov 02 2023 05:58:00 GMT+0100 (Central European Standard Time),63
Thu Nov 02 2023 06:58:00 GMT+0100 (Central European Standard Time),62
Thu Nov 02 2023 07:57:00 GMT+0100 (Central European Standard Time),63
Thu Nov 02 2023 08:59:00 GMT+0100 (Central European Standard Time),78
Thu Nov 02 2023 09:59:00 GMT+0100 (Central European Standard Time),88
Thu Nov 02 2023 10:59:00 GMT+0100 (Central European Standard Time),96
Thu Nov 02 2023 11:59:00 GMT+0100 (Central European Standard Time),95
Thu Nov 02 2023 12:59:00 GMT+0100 (Central European Standard Time),92
Thu Nov 02 2023 13:58:00 GMT+0100 (Central European Standard Time),96
Thu Nov 02 2023 14:59:00 GMT+0100 (Central European Standard Time),96
Thu Nov 02 2023 15:59:00 GMT+0100 (Central European Standard Time),92
Thu Nov 02 2023 16:59:00 GMT+0100 (Central European Standard Time),84
Thu Nov 02 2023 17:58:00 GMT+0100 (Central European Standard Time),78
Thu Nov 02 2023 18:57:00 GMT+0100 (Central European Standard Time),77
