name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Sydney,2022-11-01T00:00:00,21.3,21.3,18.6,84.22,0,0,rain,0,0,54,16.6,5,990,100,25,0,0,0,3,Overcast,cloudy,"94767099999,94766099999,95765099999,94768099999,94759099999,94765099999"
Sydney,2022-11-01T01:00:00,22.6,22.6,18.3,76.54,0,0,rain,0,0,60.1,23.1,354,988.9,98,10,0,0,0,10,Overcast,cloudy,"94767099999,94766099999,95765099999,94768099999,94759099999,94765099999"
Sydney,2022-11-01T02:00:00,23,23,17.5,71.1,0,0,rain,0,0,56.5,25,349,986.2,97.7,13.4,0,0,0,10,Overcast,cloudy,"94767099999,94766099999,95765099999,94768099999,94759099999,94765099999"
Sydney,2022-11-01T03:00:00,22.7,22.7,16.4,67.76,0.335,100,rain,0,0,54,28.1,340,986.6,91.5,30,0,0,0,10,"Rain, Overcast",rain,"94767099999,94766099999,95765099999,94768099999,94759099999,94765099999"
Sydney,2022-11-01T04:00:00,22.4,22.4,15.5,65.37,0,0,rain,0,0,44.3,20.2,327,987,100,10,0,0,0,10,Overcast,cloudy,"94767099999,94766099999,95765099999,94768099999,94759099999,94765099999"
Sydney,2022-11-01T05:00:00,21.9,21.9,15,64.9,0,0,,0,0,42.1,26.3,296,987.7,100,10,0,0,0,10,Overcast,cloudy,"94767099999,94766099999,95765099999,94768099999,94759099999,94765099999"
Sydney,2022-11-01T06:00:00,19.7,19.7,9,49.95,0,0,,0,0,48.6,29,297,990.2,91.5,30,37,0.1,0,10,Overcast,cloudy,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T07:00:00,18.6,18.6,7.9,49.77,0,0,,0,0,58.7,24.2,307,991.1,93.7,10,37,0.1,0,10,Overcast,cloudy,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T08:00:00,18.5,18.5,7.1,47.44,0,0,,0,0,56.2,30.1,296,992.2,86.2,10,37,0.1,0,10,Partially cloudy,partly-cloudy-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T09:00:00,19.3,19.3,7.1,45.03,0,0,,0,0,49.7,28,284,992.9,27,30,37,0.1,0,10,Partially cloudy,partly-cloudy-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T10:00:00,19.9,19.9,5.8,39.63,0,0,,0,0,49.3,33.7,287,993.3,2.5,10,37,0.1,0,10,Clear,clear-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T11:00:00,20.9,20.9,5.1,35.71,0,0,,0,0,49.7,32.6,290,993.2,1.8,10,37,0.1,0,10,Clear,clear-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T12:00:00,21.2,21.2,3.9,31.99,0,0,,0,0,45.7,36.4,293,993.2,13,30,37,0.1,0,10,Clear,clear-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T13:00:00,22.6,22.6,5,31.9,0,0,,0,0,44.6,33.9,279,992.8,5,10,37,0.1,0,10,Clear,clear-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T14:00:00,22.6,22.6,6.1,34.24,0,0,,0,0,42.5,29.6,310,992.7,5,10,37,0.1,0,10,Clear,clear-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T15:00:00,23.1,23.1,4.7,30.38,0.18,100,rain,0,0,43.6,27.6,278,991.9,30,30,37,0.1,0,10,"Rain, Partially cloudy",rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T16:00:00,21.5,21.5,3.8,31.38,0,0,,0,0,45.4,27.7,275,991.7,18.2,10,37,0.1,0,10,Clear,clear-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T17:00:00,18.8,18.8,7.7,48.36,0,0,,0,0,43.2,25.3,255,992.7,20.9,10,37,0.1,0,10,Partially cloudy,partly-cloudy-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T18:00:00,18,18,7.8,51.18,0,0,,0,0,44.6,21,279,993.6,60,10,37,0.1,0,10,Partially cloudy,partly-cloudy-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T19:00:00,18.1,18.1,7.1,48.49,0,0,,0,0,49,20.4,297,994.6,4.9,10,37,0.1,0,10,Clear,clear-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T20:00:00,16.3,16.3,6.8,53.22,0,0,,0,0,56.5,29.4,313,995.1,95.6,10,37,0.1,0,10,Overcast,cloudy,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
Sydney,2022-11-01T21:00:00,15.9,15.9,6.8,54.89,0.492,100,rain,0,0,59,27,315,995.7,91.5,30,0,0,0,10,"Rain, Overcast",rain,"94767099999,94766099999,95765099999,94768099999,94759099999,94765099999"
Sydney,2022-11-01T22:00:00,15.2,15.2,7.5,60.03,0,0,,0,0,54,27.1,308,996.3,85.7,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"94767099999,94766099999,95765099999,94768099999,94759099999,94765099999"
Sydney,2022-11-01T23:00:00,14.5,14.5,4.9,52.67,0,0,,0,0,50,23,308,995.7,39.8,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"94767099999,94766099999,95765099999,94768099999,94759099999,94765099999"
Sydney,2022-11-02T00:00:00,13.8,13.8,5.2,56.03,0,0,rain,0,0,48.2,23.6,301,996.9,83,30,0,0,0,10,Partially cloudy,partly-cloudy-night,"94767099999,94766099999,95765099999,94768099999,94759099999,94765099999"
Sydney,2022-11-02T01:00:00,13.3,13.3,4.6,55.5,0,0,,0,0,40,20.9,301,997,41.3,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"94767099999,94766099999,95765099999,94768099999,94759099999,94765099999"
