time_stamp,avg_hr
Tue Nov 01 2022 00:58:00 GMT+0100 (Central European Standard Time),71
Tue Nov 01 2022 01:59:00 GMT+0100 (Central European Standard Time),66
Tue Nov 01 2022 02:59:00 GMT+0100 (Central European Standard Time),66
Tue Nov 01 2022 03:59:00 GMT+0100 (Central European Standard Time),64
Tue Nov 01 2022 04:58:00 GMT+0100 (Central European Standard Time),62
Tue Nov 01 2022 05:56:00 GMT+0100 (Central European Standard Time),65
Tue Nov 01 2022 06:57:00 GMT+0100 (Central European Standard Time),63
Tue Nov 01 2022 07:59:00 GMT+0100 (Central European Standard Time),75
Tue Nov 01 2022 08:59:00 GMT+0100 (Central European Standard Time),83
Tue Nov 01 2022 09:59:00 GMT+0100 (Central European Standard Time),76
Tue Nov 01 2022 10:59:00 GMT+0100 (Central European Standard Time),69
Tue Nov 01 2022 11:58:00 GMT+0100 (Central European Standard Time),69
Tue Nov 01 2022 12:59:00 GMT+0100 (Central European Standard Time),74
Tue Nov 01 2022 13:59:00 GMT+0100 (Central European Standard Time),80
Tue Nov 01 2022 14:57:00 GMT+0100 (Central European Standard Time),87
Tue Nov 01 2022 15:59:00 GMT+0100 (Central European Standard Time),75
Tue Nov 01 2022 16:59:00 GMT+0100 (Central European Standard Time),78
Tue Nov 01 2022 17:58:00 GMT+0100 (Central European Standard Time),85
Tue Nov 01 2022 18:59:00 GMT+0100 (Central European Standard Time),86
Tue Nov 01 2022 19:59:00 GMT+0100 (Central European Standard Time),97
Tue Nov 01 2022 20:59:00 GMT+0100 (Central European Standard Time),88
Tue Nov 01 2022 21:57:00 GMT+0100 (Central European Standard Time),82
Tue Nov 01 2022 22:59:00 GMT+0100 (Central European Standard Time),72
Tue Nov 01 2022 23:59:00 GMT+0100 (Central European Standard Time),70
Wed Nov 02 2022 00:59:00 GMT+0100 (Central European Standard Time),72
Wed Nov 02 2022 01:59:00 GMT+0100 (Central European Standard Time),67
Wed Nov 02 2022 02:59:00 GMT+0100 (Central European Standard Time),67
Wed Nov 02 2022 03:59:00 GMT+0100 (Central European Standard Time),67
Wed Nov 02 2022 04:57:00 GMT+0100 (Central European Standard Time),63
Wed Nov 02 2022 05:59:00 GMT+0100 (Central European Standard Time),64
Wed Nov 02 2022 06:59:00 GMT+0100 (Central European Standard Time),63
Wed Nov 02 2022 07:59:00 GMT+0100 (Central European Standard Time),64
Wed Nov 02 2022 08:59:00 GMT+0100 (Central European Standard Time),72
Wed Nov 02 2022 09:59:00 GMT+0100 (Central European Standard Time),72
Wed Nov 02 2022 10:59:00 GMT+0100 (Central European Standard Time),72
Wed Nov 02 2022 11:58:00 GMT+0100 (Central European Standard Time),71
Wed Nov 02 2022 12:59:00 GMT+0100 (Central European Standard Time),68
Wed Nov 02 2022 13:58:00 GMT+0100 (Central European Standard Time),83
Wed Nov 02 2022 14:59:00 GMT+0100 (Central European Standard Time),69
Wed Nov 02 2022 15:58:00 GMT+0100 (Central European Standard Time),68
Wed Nov 02 2022 16:59:00 GMT+0100 (Central European Standard Time),75
Wed Nov 02 2022 17:59:00 GMT+0100 (Central European Standard Time),84
Wed Nov 02 2022 18:59:00 GMT+0100 (Central European Standard Time),81
Wed Nov 02 2022 19:59:00 GMT+0100 (Central European Standard Time),76
Wed Nov 02 2022 20:59:00 GMT+0100 (Central European Standard Time),81
Wed Nov 02 2022 21:59:00 GMT+0100 (Central European Standard Time),77
Wed Nov 02 2022 22:59:00 GMT+0100 (Central European Standard Time),78
Wed Nov 02 2022 23:59:59 GMT+0100 (Central European Standard Time),84
Thu Nov 03 2022 00:58:00 GMT+0100 (Central European Standard Time),69
Thu Nov 03 2022 01:59:00 GMT+0100 (Central European Standard Time),63
Thu Nov 03 2022 02:56:00 GMT+0100 (Central European Standard Time),63
Thu Nov 03 2022 03:59:00 GMT+0100 (Central European Standard Time),65
Thu Nov 03 2022 04:59:00 GMT+0100 (Central European Standard Time),64
Thu Nov 03 2022 05:55:00 GMT+0100 (Central European Standard Time),65
Thu Nov 03 2022 06:58:00 GMT+0100 (Central European Standard Time),64
Thu Nov 03 2022 07:59:00 GMT+0100 (Central European Standard Time),64
Thu Nov 03 2022 08:59:00 GMT+0100 (Central European Standard Time),76
Thu Nov 03 2022 09:59:00 GMT+0100 (Central European Standard Time),72
Thu Nov 03 2022 10:59:00 GMT+0100 (Central European Standard Time),75
Thu Nov 03 2022 11:59:00 GMT+0100 (Central European Standard Time),66
Thu Nov 03 2022 12:59:00 GMT+0100 (Central European Standard Time),65
Thu Nov 03 2022 13:59:00 GMT+0100 (Central European Standard Time),75
Thu Nov 03 2022 14:58:00 GMT+0100 (Central European Standard Time),100
Thu Nov 03 2022 15:59:00 GMT+0100 (Central European Standard Time),82
Thu Nov 03 2022 16:59:00 GMT+0100 (Central European Standard Time),73
Thu Nov 03 2022 17:59:00 GMT+0100 (Central European Standard Time),81
Thu Nov 03 2022 18:59:00 GMT+0100 (Central European Standard Time),83
Thu Nov 03 2022 19:59:00 GMT+0100 (Central European Standard Time),82
Thu Nov 03 2022 20:59:00 GMT+0100 (Central European Standard Time),74
Thu Nov 03 2022 21:59:00 GMT+0100 (Central European Standard Time),74
Thu Nov 03 2022 22:55:00 GMT+0100 (Central European Standard Time),74
Thu Nov 03 2022 23:59:59 GMT+0100 (Central European Standard Time),65
Fri Nov 04 2022 00:59:00 GMT+0100 (Central European Standard Time),63
Fri Nov 04 2022 01:58:00 GMT+0100 (Central European Standard Time),63
Fri Nov 04 2022 02:59:00 GMT+0100 (Central European Standard Time),59
Fri Nov 04 2022 03:59:00 GMT+0100 (Central European Standard Time),59
Fri Nov 04 2022 04:59:00 GMT+0100 (Central European Standard Time),61
Fri Nov 04 2022 05:57:00 GMT+0100 (Central European Standard Time),60
Fri Nov 04 2022 06:59:00 GMT+0100 (Central European Standard Time),61
Fri Nov 04 2022 07:59:00 GMT+0100 (Central European Standard Time),65
Fri Nov 04 2022 08:59:00 GMT+0100 (Central European Standard Time),74
Fri Nov 04 2022 09:59:00 GMT+0100 (Central European Standard Time),74
Fri Nov 04 2022 10:59:00 GMT+0100 (Central European Standard Time),74
Fri Nov 04 2022 11:59:00 GMT+0100 (Central European Standard Time),76
Fri Nov 04 2022 12:58:00 GMT+0100 (Central European Standard Time),104
Fri Nov 04 2022 13:59:00 GMT+0100 (Central European Standard Time),85
Fri Nov 04 2022 14:59:00 GMT+0100 (Central European Standard Time),80
Fri Nov 04 2022 15:58:00 GMT+0100 (Central European Standard Time),74
Fri Nov 04 2022 16:59:00 GMT+0100 (Central European Standard Time),81
Fri Nov 04 2022 17:59:00 GMT+0100 (Central European Standard Time),76
Fri Nov 04 2022 18:59:00 GMT+0100 (Central European Standard Time),79
Fri Nov 04 2022 19:59:00 GMT+0100 (Central European Standard Time),88
Fri Nov 04 2022 20:58:00 GMT+0100 (Central European Standard Time),93
Fri Nov 04 2022 21:59:00 GMT+0100 (Central European Standard Time),81
Fri Nov 04 2022 22:59:00 GMT+0100 (Central European Standard Time),84
Fri Nov 04 2022 23:59:59 GMT+0100 (Central European Standard Time),80
Sat Nov 05 2022 00:53:00 GMT+0100 (Central European Standard Time),70
Sat Nov 05 2022 01:51:00 GMT+0100 (Central European Standard Time),69
Sat Nov 05 2022 02:59:00 GMT+0100 (Central European Standard Time),66
Sat Nov 05 2022 03:59:00 GMT+0100 (Central European Standard Time),64
Sat Nov 05 2022 04:58:00 GMT+0100 (Central European Standard Time),64
Sat Nov 05 2022 05:59:00 GMT+0100 (Central European Standard Time),64
Sat Nov 05 2022 06:59:00 GMT+0100 (Central European Standard Time),63
Sat Nov 05 2022 07:59:00 GMT+0100 (Central European Standard Time),65
Sat Nov 05 2022 08:58:00 GMT+0100 (Central European Standard Time),81
Sat Nov 05 2022 09:58:00 GMT+0100 (Central European Standard Time),76
Sat Nov 05 2022 10:59:00 GMT+0100 (Central European Standard Time),74
Sat Nov 05 2022 11:59:00 GMT+0100 (Central European Standard Time),82
Sat Nov 05 2022 12:59:00 GMT+0100 (Central European Standard Time),81
Sat Nov 05 2022 13:59:00 GMT+0100 (Central European Standard Time),83
Sat Nov 05 2022 14:59:00 GMT+0100 (Central European Standard Time),82
Sat Nov 05 2022 15:59:00 GMT+0100 (Central European Standard Time),77
Sat Nov 05 2022 16:59:00 GMT+0100 (Central European Standard Time),86
Sat Nov 05 2022 17:59:00 GMT+0100 (Central European Standard Time),83
