name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
berlin,2023-11-23T00:00:00,0.2,-4.4,-2.9,79.27,0,0,,0,0,29.9,16.5,211,1022,100,27.3,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T01:00:00,0.8,-4,-2.9,76.2,0,0,,0.1,0,32,18.7,217,1020.7,100,39.1,0,0,0,,Overcast,snow,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T02:00:00,1.5,-3.4,-2.6,74.25,0,0,,0,0,34.6,20.3,216,1019,100,40,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T03:00:00,2.4,-2.4,-2.2,71.68,0,0,,0,0,37.8,21.9,220,1018.1,100,35,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T04:00:00,3,-1.5,-1.4,72.67,0,0,,0,0,36.7,20.5,230,1017.3,96.5,40,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T05:00:00,4,-0.1,-0.1,75.08,0,0,,0,0,41.8,18.9,230,1016.4,92.6,40,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T06:00:00,4.9,0.9,1.3,77.38,0,0,,0,0,41.8,20.5,230,1015.8,94.1,41,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T07:00:00,5.9,2.2,2.9,81.25,0,0,,0,0,42.1,19.5,242,1015.4,98.5,42.8,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T08:00:00,6.2,2.4,4.4,88.09,0,0,,0,0,42.5,22.3,237,1014.6,100,13.1,7,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T09:00:00,6.4,2.4,4.8,89.15,0,0,,0,0,42.1,25.2,234,1013.7,95.6,18.6,19,0.1,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T10:00:00,7,3.1,5.4,89.27,0,0,,0,0,42.1,25,233,1012.9,100,22.9,30,0.1,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T11:00:00,7.3,3.5,5.3,86.79,0,0,,0,0,46.4,25.4,240,1012,88.8,31.9,40,0.1,0,,Partially cloudy,partly-cloudy-day,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T12:00:00,7.6,3.7,6.4,91.89,0,0,,0,0,46.8,27.6,240,1010.6,100,4.9,42,0.2,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T13:00:00,8.1,4.3,7.1,93.56,0.025,100,rain,0,0,40.7,27.2,240,1009.7,100,11.9,19,0.1,0,,"Rain, Overcast",rain,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T14:00:00,9.3,6.1,8,91.7,0,0,,0,0,43.9,24.8,259,1008.6,100,17.3,16,0.1,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T15:00:00,10.2,10.2,8.2,87.54,0,0,,0,0,59.8,32.5,265,1007.4,100,29.8,12,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T16:00:00,10.3,10.3,8.6,89.33,0,0,,0,0,59.8,34.6,260,1006.5,100,6.9,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T17:00:00,10.5,10.5,8.4,86.49,0,0,,0,0,61.9,31.3,249,1004.7,100,39.6,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T18:00:00,11.1,11.1,8.3,82.86,0.04,100,rain,0,0,66.2,36.8,244,1003.2,100,40.4,0,0,0,,"Rain, Overcast",rain,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T19:00:00,11.1,11.1,8.8,85.44,0.032,100,rain,0,0,63.4,33,251,1001.9,100,30.8,0,0,0,,"Rain, Overcast",rain,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T20:00:00,10.6,10.6,9.5,92.85,0.596,100,rain,0,0,68,32.1,259,1000.9,100,11.1,0,0,0,,"Rain, Overcast",rain,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T21:00:00,9.6,5.6,8.5,92.53,1.879,100,rain,0,0,69.8,37.7,294,1001.2,100,15.4,0,0,0,,"Rain, Overcast",rain,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T22:00:00,8.3,4,6.4,87.76,0.574,100,rain,0,0,60.5,34.8,303,1001.6,99,33.8,0,0,0,,"Rain, Overcast",rain,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-23T23:00:00,8,4,5.3,83.24,0.168,100,rain,0,0,52.2,29.8,283,1001.3,96.1,41.2,0,0,0,,"Rain, Overcast",rain,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-24T00:00:00,7.6,3.3,4,78.15,0,0,,0,0,54.4,32.7,290,1001.2,100,38.2,0,0,0,,Overcast,cloudy,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-24T01:00:00,7.4,2.7,3.4,75.6,0.326,100,rain,0,0,51.8,36.6,283,1001,91.2,39.1,0,0,0,,"Rain, Overcast",rain,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-24T02:00:00,6.9,2.1,2.8,75.16,0,0,,0,0,53.6,35.7,296,1001.3,65.1,37.8,0,0,0,,Partially cloudy,partly-cloudy-night,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-24T03:00:00,6.4,2,2.7,76.8,0.032,100,rain,0,0,51.5,28.6,290,1001.2,78.3,22.2,0,0,0,,"Rain, Partially cloudy",rain,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-24T04:00:00,3.9,-0.6,2.1,88.13,1.025,100,rain,0,0,51.5,22.6,290,1001.3,13,39.8,0,0,0,,Rain,rain,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-24T05:00:00,4.7,0.6,2.2,83.73,0,0,,0,0,51.5,21.5,273,1001,61.4,36.1,0,0,0,,Partially cloudy,partly-cloudy-night,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-24T06:00:00,4.8,-0.3,2.3,83.94,0.263,100,rain,0,0,50.8,31.8,283,1000.6,80,15.3,0,0,0,,"Rain, Partially cloudy",rain,"00427,03987,00403,E2835,00433,00400"
berlin,2023-11-24T07:00:00,4.3,-0.4,1.6,82.82,0.064,100,rain,0,0,52.2,25.5,288,1000.4,98.7,46.5,0,0,0,,"Rain, Overcast",rain,"00427,03987,00403,E2835,00433,00400"
